title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#Jìyìdàshi,Thriller/Suspense,20170428,R,0.0,20000000,224942,587470,43326383,0.011247100000000001,-2.8986755907377204,-0.5238606673000786,-0.5818934670540474,-3.4616131921458937,,0
#TylerPerrysBoo2AMadeaHalloween,Comedy,20171020,PG-13,0.0,20000000,21226953,47319572,47879572,1.06134765,-2.8986755907377204,-0.5238606673000786,0.033620410550782666,102.77946956306377,,0
#Gongfuyujia,Action,20170127,PG,0.0,65000000,111979,362657,254569616,0.0017227538461538465,-2.8986755907377204,0.23732818171919656,-0.5852041164083343,-3.659480257219808,,0
#TheEmojiMovie,Adventure,20170728,PG,17.0,50000000,24531923,86089513,216807482,0.49063846,-2.0556529223548297,-0.016401434620561834,0.13048041600776653,47.25275247504014,0.013806521739130427,46
#JustGettingStarted,Comedy,20171208,PG-13,22.0,22000000,3201459,6069605,6709821,0.14552086363636366,-1.8077050787128028,-0.4900300517881109,-0.4946595578618898,11.265032117411671,0.272483,100
#Rings,Horror,20170203,PG-13,25.67,25000000,13002632,27793018,82991460,0.52010528,-1.625711361479555,-0.4392841285201592,-0.20741287475588796,49.53070676048851,0.22678229166666666,96
#TheSnowman,Thriller/Suspense,20171020,R,27.0,35000000,3372565,6670765,43232849,0.096359,-1.5597572350707762,-0.27013105096032025,-0.4896448896217174,6.826721934725468,0.19243,100
#Geostorm,Action,20171020,PG-13,29.33,100000000,13707376,33700160,220800160,0.13707376,-1.4442135399335918,0.8293639531786329,-0.18675867587185066,12.71900906150134,-0.024242999999999994,100
#FiftyShadesFreed,Drama,20180209,R,29.33,55000000,38560195,98382615,359382615,0.7010944545454545,-1.4442135399335918,0.06817510415935764,0.5416122878468617,69.81663159446494,0.316575,100
#FiftyShadesDarker,Drama,20170210,R,29.67,55000000,46607250,114434010,381081967,0.8474045454545455,-1.4273530865659338,0.06817510415935764,0.777450371464156,84.93617730597627,0.148643,100
#FatherFigures,Comedy,20171222,R,31.0,25000000,3287451,17501244,20597799,0.13149804,-1.3613989601571548,-0.4392841285201592,-0.49213935780281,10.364842195717069,0.15681379310344826,29
#TransformersTheLastKnight,Action,20170621,PG-13,31.67,217000000,44680073,130168683,603968683,0.20589895391705068,-1.3281739491091231,2.8084549606287488,0.7209698664258126,23.512116136076322,-0.015874358974358963,39
#WishUpon,Horror,20170714,PG-13,33.0,12000000,5467084,14301505,23477345,0.4555903333333333,-1.262219822700344,-0.6591831293479498,-0.4282600293144358,42.781110322656176,0.16418181818181818,22
#DiaryofaWimpyKidTheLongHaul,Adventure,20170519,PG,34.0,22000000,7126084,20738724,35355942,0.3239129090909091,-1.212630253971939,-0.4900300517881109,-0.3796390890175084,29.92935242529584,,0
#TheNutJob2NuttybyNature,Adventure,20170811,PG,34.0,40000000,8342311,28370522,58010968,0.208557775,-1.212630253971939,-0.1855545121804008,-0.3439946644517994,18.769603404944057,,0
#TheHouse,Comedy,20170630,R,34.67,40000000,8724795,25584504,31192743,0.218119875,-1.179405242923907,-0.1855545121804008,-0.3327850612399067,19.78145762241588,0.275202,100
#CHiPS,Action,20170324,R,35.0,25000000,7722802,18600152,23190697,0.30891208,-1.163040685243533,-0.4392841285201592,-0.3621508489619918,28.56458148831232,0.136267,100
#TheDarkTower,Western,20170804,PG-13,35.67,60000000,19153698,50701325,113018076,0.31922829999999996,-1.1298156741955017,0.1527516429392771,-0.02714125766820847,30.89148345340736,-0.056271,100
#BitterHarvest,Drama,20170224,R,35.67,21000000,219357,557241,606162,0.010445571428571427,-1.1298156741955017,-0.5069453595440948,-0.5820571487608337,-1.7563181884041208,0.35948,5
#TheStar,Adventure,20171117,APPROVED,36.0,20000000,9812674,40847995,62005389,0.49063370000000006,-1.113451116515128,-0.5238606673000786,-0.30090218004082225,46.82425385610314,0.098533,100
#JabHarryMetSejal,Comedy,20170804,,36.0,16600000,1284740,1284740,11176544,0.07739397590361445,-1.113451116515128,-0.5813727136704239,-0.5508335663398805,4.942906627496131,0.22907300000000003,100
#TulipFever,Drama,20170901,R,36.33,25000000,1158017,2455635,3882453,0.04632068,-1.0970865588347545,-0.4392841285201592,-0.554547485217064,1.9866023422109589,0.0829,8
#DaddysHome2,Comedy,20171110,PG-13,36.33,70000000,29651193,104029443,176154137,0.4235884714285714,-1.0970865588347545,0.3219047204991161,0.2805127975833251,42.14469089968816,0.608814,100
#ProudMary,Action,20180112,R,37.0,14000000,9959053,20868638,21579735,0.7113609285714285,-1.0638615477867226,-0.6253525138359821,-0.2966121953393612,68.85365440484144,0.216396,100
