title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#Jìyìdàshi,Thriller/Suspense,20170428,R,0.0,20000000,224942,587470,43326383,0.0112471,-2.8994508126136647,-0.5238606673000786,-0.5818934670540474,-4.553357114021838
#TylerPerrysBoo2AMadeaHalloween,Comedy,20171020,PG-13,0.0,20000000,21226953,47319572,47879572,1.06134765,-2.8994508126136647,-0.5238606673000786,0.03362041055078266,-0.17202770881217777
#Gongfuyujia,Action,20170127,PG,0.0,65000000,111979,362657,254569616,0.0017227538461538463,-2.8994508126136647,0.23732818171919656,-0.5852041164083343,-3.827362602172675
#TheEmojiMovie,Adventure,20170728,PG,17.0,50000000,24531923,86089513,216807482,0.49063846,-2.055826356370914,-0.016401434620561834,0.13048041600776653,-0.3393515789759427
#JustGettingStarted,Comedy,20171208,PG-13,22.0,22000000,3201459,6069605,6709821,0.14552086363636363,-1.8077015162995163,-0.4900300517881109,-0.4946595578618898,-2.850488092902316
#Rings,Horror,20170203,PG-13,25.67,25000000,13002632,27793018,82991460,0.52010528,-1.6255778836871106,-0.4392841285201592,-0.20741287475588793,-0.9193719217190455
#TheSnowman,Thriller/Suspense,20171020,R,27.0,35000000,3372565,6670765,43232849,0.096359,-1.559576676228119,-0.27013105096032025,-0.48964488962171737,-2.519920506431874
#Geostorm,Action,20171020,PG-13,29.33,100000000,13707376,33700160,220800160,0.13707376,-1.4439505007548479,0.8293639531786329,-0.18675867587185066,-0.5768826193199164
#FiftyShadesFreed,Drama,20180209,R,29.33,55000000,38560195,98382615,359382615,0.7010944545454545,-1.4439505007548479,0.06817510415935764,0.5416122878468617,1.8107325427345966
#FiftyShadesDarker,Drama,20170210,R,29.67,55000000,46607250,114434010,381081967,0.8474045454545455,-1.4270780116299928,0.06817510415935764,0.777450371464156,2.7382114718213133
#FatherFigures,Comedy,20171222,R,31.0,25000000,3287451,17501244,20597799,0.13149804,-1.361076804171001,-0.4392841285201592,-0.49213935780281,-2.39014552829678
#TransformersTheLastKnight,Action,20170621,PG-13,31.67,217000000,44680073,130168683,603968683,0.20589895391705068,-1.3278280756014338,2.8084549606287488,0.7209698664258126,3.5402634796300925
#WishUpon,Horror,20170714,PG-13,33.0,12000000,5467084,14301505,23477345,0.4555903333333333,-1.2618268681424423,-0.6591831293479498,-0.4282600293144358,-1.4107590561192636
#DiaryofaWimpyKidTheLongHaul,Adventure,20170519,PG,34.0,22000000,7126084,20738724,35355942,0.3239129090909091,-1.2122019001281628,-0.4900300517881109,-0.37963908901750837,-1.4897714026785631
#TheNutJob2NuttybyNature,Adventure,20170811,PG,34.0,40000000,8342311,28370522,58010968,0.208557775,-1.2122019001281628,-0.18555451218040078,-0.3439946644517994,-1.460072416212162
#TheHouse,Comedy,20170630,R,34.67,40000000,8724795,25584504,31192743,0.218119875,-1.1789531715585955,-0.18555451218040078,-0.3327850612399067,-1.3757181812188093
#CHiPS,Action,20170324,R,35.0,25000000,7722802,18600152,23190697,0.30891208,-1.1625769321138832,-0.4392841285201592,-0.3621508489619918,-1.3994265185580264
