release,title,genre,budget,opening,domestic,worldwide
20170120,Split,Horror,5000000,40010975,138141585,278449984
20170120,xXx: Return of Xander Cage,Action,85000000,20130142,44898413,345114933
20170127,A Dog’s Purpose,Drama,25000000,18222810,64321890,205272612
20170106,Underworld: Blood Wars,Action,0,13688751,30405609,81096784
20170127,Resident Evil: The Final Chapter,Action,40000000,13601682,26844692,307353906
20170113,The Bye Bye Man,Thriller/Suspense,7400000,13501349,22395806,25863405
20170113,Monster Trucks,Adventure,125000000,10950705,33370166,61681268
20170113,Sleepless,Thriller/Suspense,0,8344128,20783704,27224309
20170127,Gold,Drama,0,3471316,7227038,11478501
20170120,The Founder,Drama,15000000,3404102,12786243,18301418
20170125,Raees,Action,0,1798379,2369469,5429008
20170120,The Resurrection of Gavin Stone,Comedy,0,1206771,2303792,2303792
20170127,Un Padre No Tan Padre,Comedy,0,978894,2156047,6101504
20170113,Ok Jaanu,Drama,0,225968,355922,3250846
20170127,Buddies in India,Action,0,181705,292662,108878601
20170106,Railroad Tigers,Action,0,116211,218044,101514125
20170127,Gong fu yu jia,Action,0,111979,362657,254569616
20170127,Forushande,Drama,0,71078,2402067,4712617
20170113,Some Like It Hot,Romantic Comedy,0,42230,42230,95318745
20170106,A Monster Calls,Drama,43000000,30909,3740823,46422066
20170120,La Tortue Rouge,Adventure,0,21010,920057,6589872
20170113,Enas Allos Kosmos,Drama,0,16353,60298,269917
20170113,Jeder stirbt fur sich allein,Drama,0,8869,33125,729848
20170113,Vince Giordano: There’s a Future in…,Documentary,0,6285,14807,14807
20170120,"My Father, Die",Action,0,3229,4252,4252
20170106,German Concentration Camps Factual Su…,Documentary,0,3000,4468,4468
20170113,Relève: Histoire d'une création,Documentary,0,2198,5454,5454
20170105,Arise from Darkness,Horror,0,1944,6112,6112
20170120,The Sunshine Makers,Documentary,0,1874,10042,10042
20170120,Trespass Against Us,Action,0,1620,5711,421509
20170106,"Accidental Courtesy: Daryl Davis, Rac…",Documentary,0,1452,1940,1940
20170127,Emily,Drama,27000,1164,3547,3547
20170127,Massacre on Aisle 12,Comedy,0,967,21106,21106
20170106,A Different American Dream,Documentary,0,848,1172,1172
20170106,D’Ardennen,Thriller/Suspense,0,840,5638,6543
20170113,Tenemos La Carne,Horror,0,835,8438,8438
20170120,Royahaye dame sobh,Documentary,0,707,5937,5937
20170127,Speed Sisters,Documentary,0,370,3423,26489
20170120,Detour,Thriller/Suspense,0,145,1788,4059
20170117,Huntwatch,Documentary,0,0,0,0
20170113,Bad Kids of Crestview Academy,Black Comedy,0,0,0,0
20170124,The Hangman: Shepherds and Butchers,,0,0,0,0
20170125,Kaabil,Action,0,0,0,600441
20170126,Get the Girl,Black Comedy,0,0,0,0
20170124,Guardianes de Oz,Adventure,0,0,0,524809
20170103,American Beast,,0,0,0,0
20170120,Sophie and the Rising Sun,Drama,0,0,34630,34630
20170124,La Noire de,,0,0,0,0
20170117,Barbie: Video Game Hero,,0,0,0,0
20170113,Mostly Sunny,Documentary,0,0,4046,4046
20170120,La glace et le ciel,Documentary,0,0,14475,18917
20170103,Ouija 3: The Charlie Charlie Challenge,Horror,0,0,0,0
20170124,The Harrow,,0,0,0,0
20170106,Arsenal,Action,0,0,0,0
20170117,Lego Jurassic World: The Indominus Es…,,0,0,0,0
20170113,Go North,Thriller/Suspense,0,0,0,0
20170106,Lost & Found,Adventure,0,0,0,0
20170110,An Act of Love,Documentary,0,0,0,0
20170113,Le fils de Joseph,Drama,0,0,30588,38762
20170113,Ma,Drama,0,0,0,0
20170124,Justice League: Dark,Adventure,0,0,0,0
20170117,The Babymooners,,0,0,0,0
20170105,The Bronx Bull,Drama,0,0,0,0
20170125,Singam 3,Action,0,0,0,45221
20170113,Pitchfork,Horror,0,0,0,0
20170120,They Call Us Monsters,Documentary,0,0,0,0
20170113,100 Streets,Drama,0,0,0,307
20170131,Scooby Doo Shaggy’s Showdown,,0,0,0,0
20170131,Meet the Donors: Does Money Talk?,Documentary,0,0,0,0
20170131,Two Lovers and a Bear,Drama,6840000,0,0,22273
20170117,Below the Surface,,0,0,0,0
20170117,Bad Day at Black Rock,,0,0,0,0
20170119,Gekijô-ban — Bishôjo senshi Sêr?…,Adventure,0,0,0,0
20170106,Hickey,Comedy,0,0,0,0
20170120,Bakery in Brooklyn,Comedy,0,0,0,771963
20170117,When Elephants Were Young,Documentary,0,0,0,0
20170124,Long Nights Short Mornings,Drama,0,0,0,0
20170106,Master,Action,0,0,584298,51007693
20170110,The Night is Young,Romantic Comedy,0,0,0,0
20170120,Rester Vertical,Comedy,0,0,11747,12286
20170117,Roger Corman’s Death Race 2050,,0,0,0,0
20170117,Faustrecht der Freiheit,,0,0,0,0
20170110,One Piece Film: Gold,Action,0,0,190859,17472599
20170127,Bei xi mo shou,Documentary,0,0,0,0
20170113,The Crash,Thriller/Suspense,0,0,0,0
20170127,Ang Babae Sa Septic Tank 2: #ForeverI…,Comedy,0,0,0,0
20170127,I Am Michael,Drama,0,0,0,3996
20170103,Wo Shi Shei,,0,0,0,0
20170117,Surf’s Up 2: Wavemania,Adventure,0,0,0,781285
20170124,Flight 313: The Conspiracy,,0,0,0,0
20170127,Der Wald vor lauter Bäumen,Drama,0,0,1410,1410
20170113,The Book of Love,Drama,0,0,0,0
20170124,2 Years of Love,Romantic Comedy,0,0,0,0
20170113,Saving Banksy,Documentary,0,0,47965,47965
20170106,"Bad, Bad Men",Comedy,0,0,0,0
20170110,Ostwind,,0,0,0,0
20170118,Strike a Pose,Documentary,0,0,0,102677
20170113,Sarvann,Thriller/Suspense,0,0,0,234055
20170120,A Plastic Ocean,Documentary,0,0,0,855
20170110,The Summoning,Thriller/Suspense,0,0,0,0
20170210,The Lego Batman Movie,Adventure,80000000,53003468,175750384,310940997
20170210,Fifty Shades Darker,Drama,55000000,46607250,114434010,381081967
