Title,Studio,Weekend Gross,% Change,Theater Count / Change,,Average,Total Gross,Budget*,Week #
Star Wars: The Last Jedi,BV,"$220,009,584 ",-,"4,232",-,"$51,987 ","$220,009,584 ",-,1
Thor: Ragnarok,BV,"$122,744,989 ",-,"4,080",-,"$30,085 ","$122,744,989 ",$180 ,1
Justice League,WB,"$93,842,239 ",-,"4,051",-,"$23,165 ","$93,842,239 ",-,1
Black Panther,BV,"$202,003,951 ",-,"4,020",-,"$50,250 ","$202,003,951 ",-,1
Coco,BV,"$50,802,605 ",-,"3,987",-,"$12,742 ","$72,908,930 ",-,1
Maze Runner: The Death Cure,Fox,"$24,167,011 ",-,"3,787",-,"$6,382 ","$24,167,011 ",$62 ,1
Fifty Shades Freed,Uni.,"$38,560,195 ",-,"3,768",-,"$10,234 ","$38,560,195 ",$55 ,1
Jumanji: Welcome to the Jungle,Sony,"$36,169,328 ",-,"3,765",-,"$9,607 ","$52,775,295 ",$90 ,1
Peter Rabbit,Sony,"$25,010,928 ",-,"3,725",-,"$6,714 ","$25,010,928 ",$50 ,1
Paddington 2,WB,"$11,001,961 ",-,"3,702",-,"$2,972 ","$11,001,961 ",-,1
Ferdinand,Fox,"$13,401,586 ",-,"3,621",-,"$3,701 ","$13,401,586 ",$111 ,1
A Bad Moms Christmas,STX,"$16,759,161 ",-,"3,615",-,"$4,636 ","$21,285,267 ",$28 ,1
Daddy's Home 2,Par.,"$29,651,193 ",-,"3,575",-,"$8,294 ","$29,651,193 ",$69 ,1
Game Night,WB (NL),"$17,005,332 ",-,"3,488",-,"$4,875 ","$17,005,332 ",$37 ,1
Pitch Perfect 3,Uni.,"$19,928,525 ",-,"3,447",-,"$5,781 ","$19,928,525 ",$45 ,1
Insidious: The Last Key,Uni.,"$29,581,355 ",-,"3,116",-,"$9,493 ","$29,581,355 ",$10 ,1
Wonder,LGF,"$27,547,866 ",-,"3,096",-,"$8,898 ","$27,547,866 ",-,1
Red Sparrow,Fox,"$16,853,422 ",-,"3,056",-,"$5,515 ","$16,853,422 ",$69 ,1
The 15:17 to Paris,WB,"$12,554,286 ",-,"3,042",-,"$4,127 ","$12,554,286 ",$30 ,1
The Greatest Showman,Fox,"$8,805,843 ",-,"3,006",-,"$2,929 ","$13,404,574 ",$84 ,1
12 Strong,WB,"$15,815,025 ",-,"3,002",-,"$5,268 ","$15,815,025 ",-,1
Jigsaw,LGF,"$16,640,452 ",-,"2,941",-,"$5,658 ","$16,640,452 ",$10 ,1
Father Figures,WB,"$3,287,451 ",-,"2,902",-,"$1,133 ","$3,287,451 ",-,1
The Commuter,LGF,"$13,701,452 ",-,"2,892",-,"$4,738 ","$13,701,452 ",-,1
The Star,Sony,"$9,812,674 ",-,"2,837",-,"$3,459 ","$9,812,674 ",$20 ,1
Downsizing,Par.,"$4,954,287 ",-,"2,668",-,"$1,857 ","$4,954,287 ",$68 ,1
Early Man,LGF,"$3,190,525 ",-,"2,494",-,"$1,279 ","$3,190,525 ",-,1
Winchester,LGF,"$9,307,626 ",-,"2,480",-,"$3,753 ","$9,307,626 ",-,1
Den of Thieves,STX,"$15,206,108 ",-,"2,432",-,"$6,253 ","$15,206,108 ",-,1
Just Getting Started,BG,"$3,201,459 ",-,"2,161",-,"$1,481 ","$3,201,459 ",$22 ,1
Proud Mary,SGem,"$9,959,053 ",-,"2,125",-,"$4,687 ","$9,959,053 ",$14 ,1
All the Money in the World,TriS,"$5,584,684 ",-,"2,074",-,"$2,693 ","$12,712,380 ",-,1
Suburbicon,Par.,"$2,840,246 ",-,"2,046",-,"$1,388 ","$2,840,246 ",-,1
Annihilation,Par.,"$11,071,584 ",-,"2,012",-,"$5,503 ","$11,071,584 ",$40 ,1
Samson,PFR,"$1,942,569 ",-,"1,249",-,"$1,555 ","$1,942,569 ",-,1
Forever My Girl,RAtt.,"$4,245,630 ",-,"1,114",-,"$3,811 ","$4,245,630 ",$3.50 ,1
TCM Presents Casablanca 75th Anniversary,Fathom,"$596,068 ",-,725,-,$822 ,"$596,068 ",-,1
LBJ,Electric,"$1,110,565 ",-,659,-,"$1,685 ","$1,110,565 ",-,1
The Man Who Invented Christmas,BST,"$1,357,129 ",-,626,-,"$2,168 ","$1,811,106 ",-,1
Little Shop of Horrors: The Director's Cut,Fathom,"$156,288 ",-,511,-,$306 ,"$156,288 ",-,1
Let there be Light,ADC,"$1,729,535 ",-,373,-,"$4,637 ","$1,729,535 ",-,1
La Boda de Valentina,PNT,"$1,147,073 ",-,331,-,"$3,465 ","$1,147,073 ",-,1
Padmaavat,VPD,"$4,493,384 ",-,326,-,"$13,783 ","$5,000,650 ",-,1
