Title,Studio,Weekend Gross,% Change,Theater Count / Change,,Average,Total Gross,Budget*,Week #
Star Wars: The Last Jedi,BV,220009584,-,4232,-,51987,220009584,200,1
Thor: Ragnarok,BV,122744989,-,4080,-,30085,122744989,180,1
Justice League,WB,93842239,-,4051,-,23165,93842239,300,1
Black Panther,BV,202003951,-,4020,-,50250,202003951,200,1
Coco,BV,50802605,-,3987,-,12742,72908930,175,1
Maze Runner: The Death Cure,Fox,24167011,-,3787,-,6382,24167011,62,1
Fifty Shades Freed,Uni.,38560195,-,3768,-,10234,38560195,55,1
Jumanji: Welcome to the Jungle,Sony,36169328,-,3765,-,9607,52775295,90,1
Peter Rabbit,Sony,25010928,-,3725,-,6714,25010928,50,1
Paddington 2,WB,11001961,-,3702,-,2972,11001961,40,1
Ferdinand,Fox,13401586,-,3621,-,3701,13401586,111,1
A Bad Moms Christmas,STX,16759161,-,3615,-,4636,21285267,28,1
Daddy's Home 2,Par.,29651193,-,3575,-,8294,29651193,69,1
Game Night,WB (NL),17005332,-,3488,-,4875,17005332,37,1
Pitch Perfect 3,Uni.,19928525,-,3447,-,5781,19928525,45,1
Insidious: The Last Key,Uni.,29581355,-,3116,-,9493,29581355,10,1
Wonder,LGF,27547866,-,3096,-,8898,27547866,20,1
Red Sparrow,Fox,16853422,-,3056,-,5515,16853422,69,1
The 15:17 to Paris,WB,12554286,-,3042,-,4127,12554286,30,1
The Greatest Showman,Fox,8805843,-,3006,-,2929,13404574,84,1
12 Strong,WB,15815025,-,3002,-,5268,15815025,35,1
Jigsaw,LGF,16640452,-,2941,-,5658,16640452,10,1
Father Figures,WB,3287451,-,2902,-,1133,3287451,25,1
The Commuter,LGF,13701452,-,2892,-,4738,13701452,40,1
The Star,Sony,9812674,-,2837,-,3459,9812674,20,1
Downsizing,Par.,4954287,-,2668,-,1857,4954287,68,1
Early Man,LGF,3190525,-,2494,-,1279,3190525,50,1
Winchester,LGF,9307626,-,2480,-,3753,9307626,3.5,1
Den of Thieves,STX,15206108,-,2432,-,6253,15206108,30,1
Just Getting Started,BG,3201459,-,2161,-,1481,3201459,22,1
Proud Mary,SGem,9959053,-,2125,-,4687,9959053,14,1
All the Money in the World,TriS,5584684,-,2074,-,2693,12712380,50,1
Suburbicon,Par.,2840246,-,2046,-,1388,2840246,25,1
Annihilation,Par.,11071584,-,2012,-,5503,11071584,40,1
Samson,PFR,1942569,-,1249,-,1555,1942569,-,1
Forever My Girl,RAtt.,4245630,-,1114,-,3811,4245630,3.5,1
TCM Presents Casablanca 75th Anniversary,Fathom,596068,-,725,-,822,596068,-,1
LBJ,Electric,1110565,-,659,-,1685,1110565,21,1
The Man Who Invented Christmas,BST,1357129,-,626,-,2168,1811106,-,1
Little Shop of Horrors: The Director's Cut,Fathom,156288,-,511,-,306,156288,-,1
Let there be Light,ADC,1729535,-,373,-,4637,1729535,3,1
La Boda de Valentina,PNT,1147073,-,331,-,3465,1147073,-,1
Padmaavat,VPD,4493384,-,326,-,13783,5000650,-,1
Bilal: A New Breed of Hero,VE,309951,-,300,-,1033,309951,-,1
Tiger Zinda Hai,Yash,1787108,-,299,-,5977,1787108,20.47,1
All I See is You,ORF,144076,-,283,-,509,144076,30,1
Molly's Game,STX,2349967,-,271,-,8671,5377480,30,1
But Deliver Us from Evil,Indic.,99541,-,247,-,403,99541,-,1
The Oscar Nominated Short Films 2018,Shrts.,695044,-,198,-,3510,695044,-,1
Mary and the Witch's Flower,GK,348475,-,161,-,2164,1515939,-,1
Condorito: La Pelicula,LGF,248456,-,153,-,1624,248456,-,1
Pad Man,Sony,740313,-,152,-,4870,740313,-,1
Detective Chinatown 2,WB,704047,-,115,-,6122,704047,-,1
Tad the Lost Explorer and the Secret of King Midas,ParC,4028,-,100,-,40,4028,-,1
Monster Hunt 2,LGF,341834,-,69,-,4954,341834,-,1
ITTEFAQ,Yash,298032,-,67,-,4448,298032,-,1
Double Lover,Cohen,62995,-,50,-,1260,82035,-,1
Operation Red Sea,WGUSA,436059,-,45,-,9690,436059,-,1
Parchi,ADC,34437,-,39,-,883,34437,-,1
The Final Year,Magn.,67971,-,35,-,1942,67971,-,1
The Monkey King 3,WGUSA,95577,-,34,-,2811,95577,-,1
Explosion,CL,55307,-,33,-,1676,55307,-,1
Blade of the Immortal,Magn.,49569,-,30,-,1652,49569,-,1
The Swindlers,WGUSA,82818,-,27,-,3067,82818,-,1
Till the End of the World,CL,57713,-,27,-,2138,57713,-,1
Goldbuster,WGUSA,79180,-,24,-,3299,79180,-,1
No Greater Love,ADC,21520,-,22,-,978,21520,-,1
Wastelander,Indic.,20768,-,22,-,944,20768,-,1
Namiya,CL,39584,-,21,-,1885,39584,-,1
The Disaster Artist,A24,1211345,-,19,-,63755,1211345,10,1
Mukkabaaz,Eros,47808,-,19,-,2516,47808,-,1
The Road Movie,Osci.,17175,-,19,-,904,17175,-,1
Along with the Gods: The Two Worlds,WGUSA,185546,-,17,-,10914,185546,-,1
Bomb City,Grav.,31005,-,17,-,1824,31005,-,1
Kepler's Dream,INDEP,1582,-,11,-,144,1582,-,1
Agent Mr. Chan,CL,62234,-,10,-,6223,62234,-,1
Kickboxer Retaliation,WGUSA,3061,-,10,-,306,3061,-,1
